rus Film Rel_Age Rel_Sex Rel_Power Rel_Circle S_Class H_Class S_Age H_Age Rel_Class Before68 Others Office S_Sex H_Sex Place
1 vy Avatar Younger M_M Equal Str Middle Middle Middle Young Lower No Yes Yes M M Fictive
2 vy Avatar Same M_F Less Work Middle Middle Middle Middle Equal No Yes Yes M F Fictive
3 ty Avatar Same F_M Equal Work Middle Middle Young Young Equal No Yes Yes F M Fictive
4 ty Avatar Same F_M Equal Work Middle Middle Young Young Equal No No Yes F M Fictive
5 ty Avatar Same M_F Equal Work Middle Middle Young Young Equal No No Yes M F Fictive
6 vy Avatar Older M_M Greater Work Middle Middle Young Middle Higher No No Yes M M Fictive
7 ty Avatar Younger M_M Less Work Middle Middle Middle Young Lower No No Yes M M Fictive
9 ty Avatar Same M_F Equal Str Middle Other Young Young Other No No No M F Fictive
10 ty Avatar Same F_M Equal Str Other Middle Young Young Other No No No F M Fictive
12 ty Avatar Same M_M Less Work Middle Middle Middle Young Lower No Yes No M M Fictive
13 ty Avatar Younger M_F Less Fam Other Other Middle Young Equal No Yes No M F Fictive
15 ty Avatar Younger F_M Less Str Other Other Middle Young Other No Yes No F M Fictive
16 ty Avatar Younger F_F Less Fam Other Other Middle Young Equal No Yes No F F Fictive
18 vy Avatar Same M_M Equal Str Middle Middle Young Young Equal No Yes Yes M M Fictive
19 vy Avatar Same M_F Greater Work Middle Middle Middle Middle Equal No Yes Yes M F Fictive
20 vy Avatar Younger F_M Less Str Middle Middle Middle Young Lower No Yes Yes F M Fictive
21 vy Avatar Younger F_M Less Str Middle Middle Middle Young Lower No Yes Yes F M Fictive
22 vy Avatar Same F_M Less Work Middle Middle Middle Middle Equal No Yes Yes F M Fictive
23 ty Avatar Older M_M Less Work Middle Middle Middle Middle Lower No Yes Yes M M Fictive
25 ty BlackSwan Younger F_F Equal Fam Middle Middle Middle Young Equal No No No F F US
26 ty BlackSwan Same M_F Equal Work Middle Middle Middle Middle Lower No Yes No M F US
27 ty BlackSwan Same F_F Equal Work Middle Middle Young Young Equal No No No F F US
28 ty BlackSwan Older F_F Equal Work Middle Middle Young Middle Equal No No No F F US
29 ty BlackSwan Younger F_F Equal Work Middle Middle Middle Young Equal No No No F F US
30 ty BlackSwan Same F_M Equal Work Middle Middle Middle Middle Higher No Yes No F M US
31 ty BlackSwan Same M_F Equal Work Middle Middle Middle Middle Lower No Yes No M F US
32 ty BlackSwan Younger M_M Less Work Middle Middle Middle Young Lower No No Yes M M US
33 ty BlackSwan Same M_F Equal Acq Middle Middle Young Young Equal No Yes No M F US
34 ty BlackSwan Same F_M Equal Acq Middle Middle Young Young Equal No Yes No F M US
35 ty BlackSwan Same M_F Equal Acq Middle Middle Young Young Equal No Yes No M F US
36 ty BlackSwan Same F_F Equal Work Middle Middle Young Young Equal No Yes No F F US
38 ty BlackSwan Younger M_F Less Work Middle Middle Middle Young Lower No Yes Yes M F US
39 vy BlackSwan Older F_M Greater Work Middle Middle Young Middle Higher No No Yes F M US
40 ty BlackSwan Younger M_F Less Work Middle Middle Middle Young Lower No No Yes M F US
41 ty BlackSwan Same F_F Equal Work Middle Middle Young Young Equal No Yes Yes F F US
43 ty BlackSwan Older F_F Equal Fam Middle Middle Young Middle Equal No No No F F US
44 ty BlackSwan Younger F_F Equal Work Middle Middle Middle Young Equal No No Yes F F US
45 ty Frozen Younger F_F Equal Fam Upper Upper Child Child Equal Yes No No F F Fictive
46 vy Frozen Same M_F Equal Str Upper Upper Young Young Equal Yes No No M F Fictive
47 ty Frozen Same F_M Equal Str Upper Upper Young Young Equal Yes No No F M Fictive
48 vy Frozen Younger M_F Equal Str Upper Upper Old Young Higher Yes Yes Yes M F Fictive
50 vy Frozen Same F_M Less Str Upper Upper Young Young Equal Yes Yes Yes F M Fictive
51 vy Frozen Older M_M Equal Str Upper Upper Young Old Lower Yes Yes No M M Fictive
52 ty Frozen Same M_F Greater Str Lower Upper Young Young Higher Yes Yes No M F Fictive
53 ty Frozen Older M_M Equal Str Lower Middle Young Middle Higher Yes Yes No M M Fictive
54 ty Frozen Other M_F Equal Str Other Other Other Young Other Yes Yes No M F Fictive
55 ty Frozen Older F_F Equal Fam Upper Upper Child Child Equal Yes No No F F Fictive
56 ty Frozen Other M_M Equal Str Lower Other Young Other Other Yes Yes No M M Fictive
57 vy Frozen Younger M_M Equal Acq Upper Upper Middle Young Higher Yes Yes No M M Fictive
58 ty Frozen Other M_F Equal Str Other Upper Other Young Other Yes Yes No M F Fictive
59 ty Frozen Other F_M Equal Fam Other Lower Other Young Other Yes Yes No F M Fictive
60 ty Frozen Other F_F Equal Str Other Upper Other Young Other Yes Yes No F F Fictive
61 ty Frozen Other M_F Equal Str Other Upper Other Young Other Yes Yes No M F Fictive
63 vy Frozen Younger M_M Greater Acq Upper Upper Middle Young Higher Yes Yes No M M Fictive
64 vy Frozen Same M_M Equal Acq Lower Middle Middle Middle Higher Yes Yes No M M Fictive
65 vy Frozen Younger M_F Greater Str Middle Upper Middle Young Higher Yes No No M F Fictive
66 ty Frozen Other F_M Equal Str Upper Other Child Other Other Yes Yes No F M Fictive
67 ty Frozen Younger M_F Less Fam Upper Upper Middle Child Equal Yes Yes No M F Fictive
68 ty Frozen Other M_F Equal Str Other Upper Other Child Other Yes Yes No M F Fictive
69 ty Frozen Older F_M Greater Fam Upper Upper Child Middle Equal Yes Yes No F M Fictive
70 ty Frozen Other M_M Less Acq Lower Other Young Other Other Yes No No M M Fictive
71 vy Frozen Younger M_F Greater Acq Lower Upper Middle Young Higher Yes No No M F Fictive
73 vy Hotel Same M_M Equal Acq Lower Middle Middle Middle Higher No No No M M Europe
74 vy Hotel Younger M_M Greater Acq Lower Upper Middle Young Higher Yes Yes No M M Europe
75 vy Hotel Same M_M Equal Str Upper Lower Middle Middle Lower Yes Yes No M M Europe
76 vy Hotel Same M_M Equal Fri Lower Lower Middle Middle Equal Yes Yes No M M Europe
77 vy Hotel Same M_F Equal Str Other Lower Middle Middle Other Yes No No M F Europe
78 ty Hotel Same M_M Equal Acq Other Lower Middle Middle Other Yes Yes Yes M M Europe
79 ty Hotel Younger M_M Equal Acq Other Lower Middle Middle Other Yes Yes Yes M M Europe
80 ty Hotel Older M_M Equal Acq Lower Other Middle Middle Other Yes Yes Yes M M Europe
81 ty Hotel Same M_F Equal Rom Lower Lower Young Young Equal Yes No No M F Europe
82 vy Hotel Older M_M Equal Work Upper Middle Middle Middle Lower Yes Yes Yes M M Europe
83 ty Hotel Same M_M Equal Acq Lower Other Middle Middle Other Yes Yes Yes M M Europe
84 vy Hotel Younger M_M Equal Acq Middle Middle Old Middle Lower No No No M M Europe
85 vy Hotel Older M_M Less Str Upper Other Young Middle Other Yes Yes Yes M M Europe
86 ty Hotel Younger M_M Equal Fri Lower Lower Middle Old Equal Yes Yes No M M Europe
87 ty Hotel Older M_M Equal Fri Lower Lower Old Middle Equal Yes Yes No M M Europe
88 vy Hotel Younger M_M Equal Acq Lower Middle Old Middle Higher Yes Yes No M M Europe
89 vy Hotel Older M_M Equal Str Lower Other Young Middle Other Yes No No M M Europe
90 vy Hotel Younger M_M Equal Str Other Lower Middle Middle Other Yes Yes No M M Europe
